ObjectID	ObjectType	OnPremisesSecurityIdentifier	UserPrincipalName	GivenName	Surname	DisplayName	UserType	UserState	MailEnabled	onPremisesDistinguishedName	PublisherName
65a46173-5774-4fc8-ae44-2d82462716ea	ServicePrincipal					Notability					Microsoft Accounts
702858ed-003c-4d56-950a-0b3b47bb6162	ServicePrincipal					Invision					Microsoft Accounts
b12cbd3d-a0c2-4419-962a-8e55802cd342	ServicePrincipal					dexcom					Microsoft Accounts
6dcea4e7-575d-4833-927f-cc7e19105d60	ServicePrincipal					LastPass					Microsoft Accounts
ab51c36c-2426-4c65-a760-2e5fc3d760c7	ServicePrincipal					PDFSimpli					Microsoft Accounts
fafeb82f-29b4-4258-b6b1-54925547f716	ServicePrincipal					SurveyMonkey					SurveyMonkey
30414c27-15fc-42c4-b050-bd9291d6d9d4	ServicePrincipal					Foxit					Microsoft Accounts
a92e0e3a-9a65-44eb-bea5-7d49cd9124a5	ServicePrincipal					GoodSync					Microsoft Accounts
c6bf1865-e1bf-4b1f-8a37-8677135c3808	ServicePrincipal					Project Calendar.Help					Microsoft Accounts
075184ae-c71d-429f-90b0-b0b744590dd9	ServicePrincipal					Graph API					Microsoft Accounts
59a18889-4c77-47e9-be4a-24ba5eed599a	ServicePrincipal					Zapier Outlook					Microsoft Accounts
88530c8f-a634-4625-8326-4d4e343779e2	ServicePrincipal					OneDrive Free Client					Microsoft Accounts
bc7e9841-3459-4fc9-bddf-ec68c692fed2	ServicePrincipal					SampleMultiProviderBot					Microsoft Accounts
ff8b7b6f-c53f-42e0-ba55-ab9e8c6e65af	ServicePrincipal					inwink					Microsoft Accounts
b3b7c4d8-bb12-4dad-8434-eb93aa392fc5	ServicePrincipal					FedEx Office?					Microsoft Accounts
807ed1bf-bb57-4d51-94ea-eb4375ff708f	ServicePrincipal					Total					Microsoft Accounts
6d397b0b-aeb7-4410-ac2e-bf068b3ef945	ServicePrincipal					HelpMeApply					Microsoft Accounts
76563403-35e5-4d57-9044-5df267b81f16	ServicePrincipal					DC Desktop					Microsoft Accounts
5ed2a965-b73c-4060-bf2f-f3c1abe38d1d	ServicePrincipal					MirrorOp					Microsoft Accounts
71478cc2-8f08-4858-8a79-ecaa601160ec	ServicePrincipal					AddEvent.com					Microsoft Accounts
bb900d6e-f12a-4ff7-a830-6a8ee0c3c0ce	ServicePrincipal					Garmin Connect					Microsoft Accounts
9e41a40b-ca28-4da6-9919-b9044b5cdf8a	ServicePrincipal					DocuSign For Demo					DocuSign
1e39e35b-da48-411e-8e76-2c6b13fc0e82	ServicePrincipal					Arrow Launcher					Microsoft Accounts
2ca2e8f8-011e-4155-b926-e4a1a6e43aad	ServicePrincipal					drawio					Microsoft Accounts
81790bb1-d90f-46bc-87f8-9424343131ef	ServicePrincipal					Ashampoo Backup					Microsoft Accounts
8476fb4e-f9cf-4eb4-8fe8-85f913cc2078	ServicePrincipal					Coggle					Microsoft Accounts
eb715f78-82f7-4b7d-99db-b01de40697ad	ServicePrincipal					The IIS.NET website					Microsoft Accounts
0ae7dd61-0fe9-462a-a67b-aea5850864fa	ServicePrincipal					My Agenda for Fitbit					Microsoft Accounts
1ba11f90-6931-482e-92db-c1fa756f86cb	ServicePrincipal					TCML					Microsoft Accounts
d1fbc31e-a53c-45be-9784-89eb7468505b	ServicePrincipal					Jira Cloud					Microsoft Accounts
33ebedf4-ef9f-41c8-9234-f9b3d2c8463a	ServicePrincipal					Campus Suite					Microsoft Accounts
9f291b6d-88f9-4a72-80fd-851800d282ea	ServicePrincipal					seamless.ai (prod)					Microsoft Accounts
aee3b0c5-166a-4999-8b78-635ded058c41	ServicePrincipal					ScanSnap Connect Application					Microsoft Accounts
53f312ca-f6f7-4b9d-a02c-3041f65d5aca	ServicePrincipal					microsoft-graph-react					Microsoft Accounts
2ddebf4d-b1c9-4cc4-9b18-f22ecb76cebe	ServicePrincipal					ExcelBot					Microsoft Accounts
39bc5fab-365b-4b51-8a34-ef1a06c12b10	ServicePrincipal					trackxpo-prod					Microsoft Accounts
cd0270e2-89f6-4e82-b707-3da5e4bfbc99	ServicePrincipal					Smartschool					Microsoft Accounts
249eefc1-0d60-498c-9768-9c5bdbdf4ad8	ServicePrincipal					SAT APP REGISTRO MX 711					Microsoft Accounts
b909e840-819a-4d11-b1dc-7d96b45f4f33	ServicePrincipal					Crystal					Microsoft Accounts
6b3c014f-1fa2-4291-adb3-be77f42722eb	ServicePrincipal					Alignable					Microsoft Accounts
b124a4bb-6879-4101-a79e-76861d310c80	ServicePrincipal					Boomerang					Microsoft Accounts
a4bf1512-d6a0-4c5b-9cd1-6575e450cafb	ServicePrincipal					RescueTime Calendar Connection					Microsoft Accounts
e84830d0-8ea9-4767-853b-9be89bbe2663	ServicePrincipal					Organimi					Microsoft Accounts
4c5079f4-7d7a-4264-8dbb-e07331770f8d	ServicePrincipal					ARES Touch					Microsoft Accounts
0f3c3294-848d-4c54-bda4-b754cd55ec62	ServicePrincipal					SyncGene					Microsoft Accounts
9a903985-c028-4ca5-9bde-0eb334ed8bb1	ServicePrincipal					Koen Zomers OneDrive Sync v2					Microsoft Accounts
237c1bad-f882-4101-acc8-bda52bc39845	ServicePrincipal					SIMS ID Live					Microsoft Accounts
2163dc0c-1b08-4223-94a8-30671a4b1f77	ServicePrincipal					Cloudsponge					Microsoft Accounts
3921d86b-31e7-4b19-a0cb-7c108fbb2ade	ServicePrincipal					Workboard					Microsoft Accounts
0ce7363f-3650-486e-be73-bb91c026c698	ServicePrincipal					Asana OneDrive thumbnails					Microsoft Accounts
afab5759-3ffd-4339-bb84-4bbc3075a246	ServicePrincipal					IntelliReach					Microsoft Accounts
c8134bad-ba4d-4684-a3c3-743b6ea8468f	ServicePrincipal					PomoDoneApp					Microsoft Accounts
baa8e3e1-fa4a-4b12-8ffe-283d343070a6	ServicePrincipal					Total Commander Plugin for OneDrive					Microsoft Accounts
d197b088-e321-4e28-837f-972d97b3d736	ServicePrincipal					Tasks in a Box Connector					Microsoft Accounts
e3ed2b09-e238-4314-be3b-8c2a8280c8f0	ServicePrincipal					OnePad					Microsoft Accounts
93a7b762-006c-471a-9b52-695be95783c9	ServicePrincipal					ECAL					Microsoft Accounts
eae838a7-3b73-4a9f-95e3-c44e9156b950	ServicePrincipal					Karma					Microsoft Accounts
95a558a7-8c65-4ab1-abb1-3d23dcd927da	ServicePrincipal					Tasks Notes					Microsoft Accounts
e8214157-db20-49b0-a9a3-efa1f43a17b0	ServicePrincipal					Attach OneDrive files to Asana					Microsoft Accounts
8e79ddbf-0646-4f18-9d53-41c9a071f5c8	ServicePrincipal					LogMeIn					Microsoft Accounts
35ea3950-20df-44ce-9ca5-ea7d995a0b28	ServicePrincipal					XL-Connector 365					Microsoft Accounts
74f4ad3b-8870-4073-a0a7-457388cf6a30	ServicePrincipal					Workplace by Facebook					Facebook
a3288f7d-cba9-4487-8093-0a334704cff3	ServicePrincipal					Accompany					Microsoft Accounts
f555fa1d-c88b-41e2-874b-8347db0adb5c	ServicePrincipal					Outlook Start					Microsoft Accounts
f3a3a349-5dd2-4cee-a2eb-21a7fbc0f3a6	ServicePrincipal					Gale					Microsoft Accounts
140c9f3c-c6a0-45c2-ac56-ea46a36e6e52	ServicePrincipal					SMART Account					Microsoft Accounts
28a1f36a-96ee-48a0-a8e9-76127cdfb0bb	ServicePrincipal					Notifier					Microsoft Accounts
036ba453-28fd-415c-8190-59232b493e4e	ServicePrincipal					Prod-Trello OneDrive Powerup					Microsoft Accounts
d03e3b63-cbe8-45f9-b54d-ad92c98ca947	ServicePrincipal					MailClark for MS Live					Microsoft Accounts
b8eaffac-4f08-415e-bd45-5c4e9aaf0eda	ServicePrincipal					Mercado Libre Mex					Microsoft Accounts
71649869-50cd-47e3-b9d6-c0d31efa49cb	ServicePrincipal					Apps for Fitbit					Microsoft Accounts
a5502aa9-e1ff-4ae3-8101-11865c2fc925	ServicePrincipal					Speaking Email app					Microsoft Accounts
d977949e-1b7a-4f32-99fd-ce7d46d0b23e	ServicePrincipal					Trello Bot					Microsoft Accounts
2925b16b-92b5-4fab-b6ea-078622e022d4	ServicePrincipal					Chorus					Microsoft Accounts
135fe9f4-eef7-4804-8e67-f41c0d55c1b6	ServicePrincipal					Cloudmersive					Microsoft Accounts
d35f9722-305d-4899-a512-c54ac17fd7b6	ServicePrincipal					LinkedIn Microsoft Graph Connector					LinkedIn Corporation
9b9100fb-3724-4c90-a7db-998cf320da84	ServicePrincipal					mscareers					Microsoft Accounts
39f042b8-155b-440d-b48d-6dba541a910b	ServicePrincipal					Visual Paradigm Online					Microsoft Accounts
88f911ee-85ce-4e80-8c4d-4cd9cb27fbf8	ServicePrincipal					app1					Microsoft Accounts
a8e4ae1a-b3b5-4b80-9615-fac0bf9633e1	ServicePrincipal					??????					Microsoft Accounts
fc8c46dd-1ad9-4cc0-9cf4-caa6789a82d9	ServicePrincipal					OAuth Testing					Microsoft Accounts
c1fa0687-2afa-46e4-856c-8dff201327cf	ServicePrincipal					ApprovedContact					Microsoft Accounts
c55495cd-9dfe-4d7c-8cfb-7fd7bad7c9e7	ServicePrincipal					Microsoft To-Do Inofficial Alexa Skill					Microsoft Accounts
489fdef5-d5b7-4d57-a6d9-cb38a0bb2592	ServicePrincipal					BlueBridge Glossary					Microsoft Accounts
5d828669-58fc-406e-bbfa-906669114bc5	ServicePrincipal					Twitter					Microsoft Accounts
45d4bb54-bf35-46b6-9f38-3f1bb512745d	ServicePrincipal					tpm123					Microsoft Accounts
9f8f08f2-0730-4009-8654-6c5cefe1c06a	ServicePrincipal					OpenAgora					Microsoft Accounts
c98cae94-cfbd-44e8-a100-34cfcf1d75ed	ServicePrincipal					CamCard for Outlook					Microsoft Accounts
5050d5b1-d3fb-461b-b0f5-b281eaeb14c8	ServicePrincipal					Skype Interviews					Microsoft Accounts
3b64ae36-ea82-48e6-94d2-e207ee4ef224	ServicePrincipal					Copernic Desktop Search PlugIn					Microsoft Accounts
f38f262e-92e4-4d94-97ef-e5fe6ada1218	ServicePrincipal					Trello					Microsoft Accounts
1ee19e41-c139-47c3-ab9a-b7148606f4b8	ServicePrincipal					ScreenCloud - OneDrive App					Microsoft Accounts
f6876abf-14f8-4410-9bc1-ba308797c3c5	ServicePrincipal					Eurocae Registration					Microsoft Accounts
22cba13b-ac4a-4dcc-a49c-5d53c016188c	ServicePrincipal					MEX APP REGISTRO 13					Microsoft Accounts
7ddca199-afa5-454f-81e3-33ae2b9dd2d9	ServicePrincipal					Zoom.ai					Microsoft Accounts
4a8a3b66-1f95-47fd-81dd-0a2284db54a9	ServicePrincipal					DROPBOX					Microsoft Accounts
ce8de6d8-3539-4bf8-bf05-807c84f2cf59	ServicePrincipal					Siempre Plus					Microsoft Accounts
52bc6a1f-98af-4c98-985e-3556a472f5f1	ServicePrincipal					Azure Logic Apps (South India)					Microsoft Accounts
d36e396d-b3cb-4127-89f3-7686b6cf62aa	ServicePrincipal					MX REGISTROS AP5418					Microsoft Accounts
da0ad667-a970-47fe-bab6-3594b4704f0d	ServicePrincipal					YellowAnt					Microsoft Accounts
e33bd401-4cba-423a-bc71-bd6ce95df2f0	ServicePrincipal					Turnitin					Microsoft Accounts
76b8f3d9-b2fa-4b6d-bb08-666440953fd5	ServicePrincipal					Shift					Microsoft Accounts
d3feb60f-6c95-4b74-95eb-aeb10e30483d	ServicePrincipal					SATS MX APP 972019					Microsoft Accounts
066f68a1-2d26-4920-822b-bc0fa589a460	ServicePrincipal					Email Client					Microsoft Accounts
dd11435e-4e72-4169-9c9f-08e60c1c3c86	ServicePrincipal					Lucidpress					Microsoft Accounts
77de0044-3afb-4e65-8987-10f6f2b2e7ec	ServicePrincipal					Appointment Assistant					Microsoft Accounts
a54b859d-a762-4ee0-8be8-635d3e2cd868	ServicePrincipal					amazon.jobs					Microsoft Accounts
74d5cd3c-824d-404f-ab0d-431c8ca985b5	ServicePrincipal					Business Time					Microsoft Accounts
8b9d2a6b-c565-4130-b7c0-2b8268b4d943	ServicePrincipal					SiteHawk Communicator Prod					Microsoft Accounts
28d8a22a-bea8-4d08-98ee-4ec5e0bf4197	ServicePrincipal					ZoomOnedrive					Zoom Video Communications
98704f28-0d8f-4b6f-b002-cae04e654410	ServicePrincipal					GoodReader					Microsoft Accounts
5dfa3540-c126-4b35-8c73-acde25496adb	ServicePrincipal					Outlook Calendar for Slack					Microsoft Accounts
c7ddfdb5-850e-4fe5-8699-50ecf66463c1	ServicePrincipal					Canon PRINT Inkjet/SELPHY					Microsoft Accounts
a7e34d35-7830-45b9-93e1-0c2f0fef78cc	ServicePrincipal					Cyberduck					Microsoft Accounts
5646c368-a1b7-4b5b-9f47-3ef90b93209b	ServicePrincipal					Azure Logic Apps (Central India)					Microsoft Accounts
01603038-e7ff-43a8-9cc1-37dde474a26d	ServicePrincipal					Jell					Microsoft Accounts
f9f17853-c7d1-4471-9181-ee633ac7faeb	ServicePrincipal					BingWebmasterTools					Microsoft Accounts
dda5b429-7644-47d8-adf8-2080c5a0ff7b	ServicePrincipal					EU					Microsoft Accounts
595bb91c-6a83-43c6-a0d7-e5685613a713	ServicePrincipal					Apply					Microsoft Accounts
e3e92fad-2e82-41e0-bdcd-94a1c0362b26	ServicePrincipal					Project Viewer 365 (PC)					Microsoft Accounts
b9cdaeaf-5da8-4989-9b4b-495661eb55b1	ServicePrincipal					Doodle AG					Microsoft Accounts
415568a0-6af1-4f44-aee6-e08e4ceb75bf	ServicePrincipal					SMS Backup and Restore					Microsoft Accounts
60384a20-44ea-4bca-9a6d-2c3bf7e955df	ServicePrincipal					Distribution Manager UAT					Microsoft Accounts
fd9e4081-9f1b-4a53-a8e1-059fb422a05d	ServicePrincipal					Slack					Microsoft Accounts
c02c1be2-e99a-47ff-99a6-f217d8225df3	ServicePrincipal					iOS Accounts					Apple Inc.
dcc6d115-bb21-4cb9-9371-577f17eaeb40	ServicePrincipal					Oauth 2.0					Microsoft Accounts
b39bd5c8-1736-4d80-a669-c58c57be12bc	ServicePrincipal					Adobe Sign for Office365					Microsoft Accounts
9fa6e6e5-7e13-4c1b-8956-2729b163fd7d	ServicePrincipal					ToDo Link					Microsoft Accounts
ee0613ee-f8fc-431b-80c0-5e8c702a51f3	ServicePrincipal					ClickShare					Microsoft Accounts
28548361-5145-4235-aa96-150ff409af3f	ServicePrincipal					InstaCal					Microsoft Accounts
50f6695d-0519-4115-a9d4-3cee3a0fbc43	ServicePrincipal					BlueMail					BlueMail Inc.
e10965d6-c422-4f6d-8c15-50f47e7fab3a	ServicePrincipal					SEGURO MX REGISTRO 19					Microsoft Accounts
7becced6-aa34-41f5-a25a-bf045b6dcd6a	ServicePrincipal					Zoom Video Communications					Zoom Video Communications
